duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_51s,num_compromised,root_54,num_file_creations,num_54s,num_access_files,num_outbound_cmds,is_host_51,is_guest_51,srv_count,serror_rate,srv_serror_rate,class
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2,2,12983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,2,3,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0
1,1,4,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.12,0
0,1,5,2,267,14515,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
0,1,6,2,1022,387,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
0,1,4,2,129,174,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,5,2,327,467,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,1
0,1,7,2,26,157,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,6,2,616,330,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1,1,0
37,1,4,2,773,364200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,5,2,350,3610,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
0,1,5,2,213,659,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1
0,1,5,2,246,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1
0,3,1,2,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
